LIB,VER,Z,SYM,A,M,MF,MT,LIBORIG,VERORIG
JEFF,3.2,100,Fm,255,g,5,16,JENDL,3.2
JEFF,3.2,11,Na,22,g,3,57,JEFF,3.0
JEFF,3.2,100,Fm,255,g,5,17,JENDL,3.2
JEFF,3.2,11,Na,22,g,3,58,JEFF,3.0
JEFF,3.2,100,Fm,255,g,5,18,JENDL,3.2
JEFF,3.2,11,Na,22,g,3,59,JEFF,3.0
JEFF,3.2,100,Fm,255,g,5,91,JENDL,3.2
JEFF,3.2,100,Fm,255,g,5,37,JENDL,3.2
JEFF,3.2,11,Na,22,g,3,61,JEFF,3.0
JEFF,3.2,11,Na,22,g,3,91,JEFF,3.0
JEFF,3.2,11,Na,22,g,3,102,JEFF,3.0
JEFF,3.2,11,Na,22,g,3,103,JEFF,3.0
JEFF,3.2,11,Na,22,g,3,107,JEFF,3.0
JEFF,3.2,11,Na,22,g,3,108,JEFF,3.0
JEFF,3.2,12,Mg,24,g,2,151,JENDL,3.2
JEFF,3.2,17,Cl,36,g,33,51,JEFF,3.2
JEFF,3.2,11,Na,22,g,3,251,JEFF,3.0
JEFF,3.2,11,Na,22,g,4,16,JEFF,3.0
JEFF,3.2,11,Na,22,g,4,2,JEFF,3.0
JEFF,3.2,12,Mg,26,g,2,151,JENDL,3.2
JEFF,3.2,11,Na,22,g,4,22,JEFF,3.0
JEFF,3.2,12,Mg,24,g,3,2,JENDL,3.3
JEFF,3.2,12,Mg,24,g,3,1,JENDL,3.3
JEFF,3.2,11,Na,22,g,4,28,JEFF,3.0
JEFF,3.2,11,Na,22,g,4,51,JEFF,3.0
JEFF,3.2,12,Mg,24,g,3,4,JENDL,3.3
JEFF,3.2,11,Na,22,g,4,52,JEFF,3.0
JEFF,3.2,12,Mg,26,g,3,4,JENDL,3.2
JEFF,3.2,12,Mg,26,g,3,2,JENDL,3.3
JEFF,3.2,12,Mg,26,g,3,1,JENDL,3.3
JEFF,3.2,12,Mg,24,g,3,16,JENDL,3.3
JEFF,3.2,12,Mg,26,g,3,16,JENDL,3.2
JEFF,3.2,12,Mg,24,g,3,22,JENDL,3.3
JEFF,3.2,11,Na,22,g,4,53,JEFF,3.0
JEFF,3.2,10,Ne,21,g,14,77,TENDL,2011
JEFF,3.2,11,Na,22,g,4,54,JEFF,3.0
JEFF,3.2,12,Mg,26,g,3,22,JENDL,3.2
JEFF,3.2,12,Mg,24,g,3,28,JENDL,3.3
JEFF,3.2,12,Mg,26,g,3,28,JENDL,3.2
JEFF,3.2,11,Na,22,g,4,55,JEFF,3.0
JEFF,3.2,12,Mg,24,g,3,51,JENDL,3.3
JEFF,3.2,12,Mg,26,g,3,51,JENDL,3.2
JEFF,3.2,11,Na,22,g,4,56,JEFF,3.0
JEFF,3.2,12,Mg,24,g,3,52,JENDL,3.3
JEFF,3.2,12,Mg,26,g,3,52,JENDL,3.2
JEFF,3.2,11,Na,22,g,4,57,JEFF,3.0
JEFF,3.2,12,Mg,24,g,3,53,JENDL,3.3
JEFF,3.2,12,Mg,24,g,3,54,JENDL,3.3
JEFF,3.2,12,Mg,26,g,3,53,JENDL,3.2
JEFF,3.2,11,Na,22,g,4,58,JEFF,3.0
JEFF,3.2,12,Mg,24,g,3,55,JENDL,3.3
JEFF,3.2,12,Mg,25,g,2,151,JENDL,3.2
